Set,Way,Physical Address,Victim Address,Program Counter,Hit
1874,15,917492924,0,4207559,0
1892,15,917494056,0,4207559,0
1910,15,917495224,0,4207559,0
987,15,3454465749,0,4207559,0
1022,15,3454468027,0,4207559,0
1674,15,3970409136,0,4207559,0
1693,15,3970410338,0,4207559,0
1703,15,3970410949,0,4207559,0
1492,15,1262187807,0,4207559,0
101,15,3412072768,0,4207552,0
1508,15,1262188840,0,4207559,0
718,15,2105193347,0,4207559,0
0,15,3641442363,0,4207559,0
23,15,3641443795,0,4207559,0
35,15,3641444607,0,4207559,0
38,15,3641444789,0,4207559,0
1225,15,4095816281,0,4207559,0
1240,14,4095817269,0,4207559,0
711,15,1760997878,0,4207559,0
730,15,2719659690,0,4207559,0
741,15,2719660361,0,4207559,0
747,15,2719660793,0,4207559,0
1691,15,1522640586,0,4207559,0
1703,14,1522641373,0,4207559,0
1713,15,1522642035,0,4207559,0
1720,15,1522642451,0,4207559,0
102,15,3412072832,0,4207552,0
705,15,3162288251,0,4207559,0
711,14,3162288600,0,4207559,0
718,14,3162289087,0,4207559,0
384,15,290742287,0,4207559,0
416,15,290744346,0,4207559,0
329,15,548557436,0,4207559,0
349,15,548558670,0,4207559,0
908,15,604955429,0,4207559,0
914,15,604955799,0,4207559,0
928,15,604956675,0,4207559,0
938,15,604957344,0,4207559,0
954,15,604958398,0,4207559,0
95,13,3459389389,0,4207559,0
326,15,87445938,0,4207559,0
1055,15,1426524140,0,4207559,0
1057,15,1426524276,0,4207559,0
103,15,3412072896,0,4207552,0
173,15,2475961167,0,4207559,0
184,15,2475961885,0,4207559,0
899,15,1886314726,0,4207559,0
906,15,1886315158,0,4207559,0
916,15,1886315824,0,4207559,0
920,15,1886316080,0,4207559,0
934,15,1886316966,0,4207559,0
941,15,1886317426,0,4207559,0
956,15,1886318367,0,4207559,0
1235,15,1702311166,0,4207559,0
1098,15,2317947543,0,4207559,0
1126,15,2317949365,0,4207559,0
324,15,3006026008,0,4207559,0
333,15,3006026606,0,4207559,0
347,15,3006027485,0,4207559,0
354,15,3006027916,0,4207559,0
104,15,3412072960,0,4207552,0
10,15,3827303062,0,4207559,0
14,15,3827303351,0,4207559,0
26,15,3827304089,0,4207559,0
427,15,3548801789,0,4207559,0
433,15,3548802164,0,4207559,0
444,15,3548802827,0,4207559,0
789,15,2007418190,0,4207559,0
2034,15,1120271519,0,4207559,0
2035,15,1120271607,0,4207559,0
1499,15,1036744401,0,4207559,0
1500,15,1036744457,0,4207559,0
1524,15,1036746006,0,4207559,0
1530,15,1036746412,0,4207559,0
1688,14,4065306147,0,4207559,0
1723,15,4065308361,0,4207559,0
1073,15,368774229,0,4207559,0
1158,15,2832671116,0,4207559,0
229,15,2160998720,0,4207559,0
1903,15,4222213056,0,4207559,0
604,15,2060752640,0,4207559,0
1066,15,2897676928,0,4207559,0
1488,15,1515811840,0,4207559,0
1669,15,3200753984,0,4207559,0
36,15,3641444608,0,4207559,0
719,15,3162289088,0,4207559,0
262,15,3165274496,0,4207559,0
1523,15,2801761472,0,4207559,0
1075,15,1783303360,0,4207559,0
1173,15,4076938560,0,4207559,0
955,15,604958400,0,4207559,0
1236,15,1702311168,0,4207559,0
1170,15,3782288520,0,4207752,0
215,15,2160997824,0,4207559,0
136,15,92545536,0,4207559,0
428,15,3548801792,0,4207559,0
1197,15,3782290240,0,4209472,0
1198,15,3782290304,0,4209536,0
1199,14,3782290371,0,4209603,0
1200,15,3782290434,0,4209666,0
1201,15,3782290499,0,4209731,0
1202,15,3782290560,0,4209792,0
1206,15,3782290853,0,4210085,0
1207,14,3782290883,0,4210115,0
1208,15,3782290946,0,4210178,0
1209,15,3782291013,0,4210245,0
1210,15,3782291074,0,4210306,0
1171,15,3782288622,0,4207854,0
330,15,548557440,0,4207559,0
1882,15,146921088,0,4207559,0
1355,15,3378205376,0,4207559,0
1875,15,917492928,0,4207559,0
876,15,2766199552,0,4207559,0
1877,15,4222211392,0,4207559,0
246,15,3789307264,0,4207559,0
706,15,3162288256,0,4207559,0
538,15,3636233856,0,4207559,0
748,15,2719660800,0,4207559,0
1911,15,917495232,0,4207559,0
712,15,1760997888,0,4207559,0
1172,14,3782288643,0,4207875,0
1214,15,3782291387,0,4210619,0
1215,15,3782291395,0,4210627,0
1174,15,3782288778,0,4208010,0
1454,15,1627483011,0,4205443,0
1455,15,1627483072,0,4205504,0
1459,15,1627483357,0,4205789,0
1196,14,3782290192,0,4209424,0
1954,15,3088967852,0,4208019,0
777,14,267436614,0,4205475,0
1861,15,3487289708,0,4205480,0
788,15,267437312,0,4205475,0
793,15,1661912648,0,4205480,0
1877,14,3487290712,0,4205480,0
1339,15,1131630306,0,4205475,0
1913,15,3487293000,0,4205480,0
1013,15,4176674168,0,4205475,0
145,14,3757450344,0,4205475,0
1769,14,4058888830,0,4205480,0
1770,15,4058888832,0,4205519,0
1965,15,158985072,0,4205475,0
1819,15,2648819400,0,4205480,0
2038,14,4091936138,0,4205475,0
371,15,3706215616,0,4205475,0
2043,15,2480275194,0,4205475,0
921,15,1546577506,0,4205475,0
921,14,1886316096,0,4205298,0
54,15,2229931440,0,4205475,0
274,15,4068230300,0,4205475,0
429,15,1517710160,0,4205475,0
1649,15,2785647686,0,4205480,0
1664,15,4099252244,0,4205475,0
491,15,168590024,0,4205480,0
264,14,3165274624,0,4205247,0
1893,14,917494080,0,4205465,0
334,15,3706213280,0,4205480,0
1748,15,372618550,0,4205475,0
327,15,87445952,0,4205268,0
1929,14,745529920,0,4205315,0
1302,15,2455061934,0,4205475,0
850,14,3341997236,0,4205480,0
1056,15,1426524160,0,4205370,0
1509,15,1262188864,0,4205460,0
654,15,802988960,0,4205475,0
900,15,317645096,0,4205480,0
1058,15,1426524288,0,4205225,0
904,15,317645368,0,4205480,0
1367,15,423581150,0,4205475,0
2015,15,4091934702,0,4205480,0
518,15,3230171544,0,4205475,0
1852,15,1257230090,0,4205475,0
583,15,2060751296,0,4205247,0
210,15,617624758,0,4205475,0
1111,15,4005238262,0,4205475,0
943,15,1696787448,0,4205475,0
953,15,1696788034,0,4205475,0
846,15,2421609380,0,4205475,0
549,15,3636234560,0,4205408,0
148,15,2603099452,0,4205475,0
716,15,3965367056,0,4205475,0
465,15,2746512510,0,4205475,0
466,15,2746512512,0,4205514,0
733,14,4152014658,0,4205475,0
477,15,2746513224,0,4205475,0
1775,15,848673736,0,4205475,0
1737,15,372617834,0,4205475,0
1270,15,3140566400,0,4205366,0
1008,14,4176673832,0,4205475,0
868,15,3542931712,0,4207559,0
1197,14,2832673600,0,4207818,0
1046,15,2897675648,0,4207559,0
1885,15,146921280,0,4207559,0
1203,15,3782290627,0,4209859,0
1204,15,3782290692,0,4209924,0
1024,15,1528102912,0,4210688,0
1212,15,3782291203,0,4210435,0
1293,15,406799208,0,4210642,0
1023,15,3454468032,0,4205247,0
706,14,767078582,0,4205475,0
789,14,302826862,0,4205480,0
1211,15,3782291157,0,4210389,0
2036,15,1120271616,0,4205315,0
1914,15,599514812,0,4205475,0
1861,14,599511366,0,4205480,0
1205,15,3782290754,0,4209986,0
461,15,522744692,0,4205475,0
460,15,522744604,0,4205480,0
1825,15,2230700096,0,4207559,0
1386,14,90528384,0,4207559,0
556,15,3193735936,0,4207559,0
156,15,2329683712,0,4205247,0
82,15,687084726,0,4205475,0
893,15,1587076962,0,4205480,0
1127,15,2317949376,0,4205247,0
1952,15,430696448,0,4207559,0
1241,15,4095817280,0,4207559,0
1972,15,745532672,0,4205221,0
1787,15,1963835072,0,4205221,0
244,15,2912173312,0,4205264,0
434,15,3548802176,0,4205221,0
1714,15,1522642048,0,4205247,0
96,14,1960843264,0,4207559,0
1,15,3641442368,0,4207559,0
169,15,2329684544,0,4207559,0
2039,15,3034840512,0,4207559,0
1867,15,4142125760,0,4207559,0
1324,15,2433174272,0,4207559,0
15,15,3827303360,0,4207559,0
538,14,3644360320,0,4205264,0
184,14,4039913012,0,4205475,0
244,14,3346283790,0,4205480,0
731,15,2719659712,0,4205433,0
518,14,2003075470,0,4205475,0
1978,15,3865833122,0,4205480,0
1943,15,4131382720,0,4205465,0
549,14,757762426,0,4205475,0
1202,14,1812147360,0,4205480,0
223,15,2912171968,0,4205315,0
1158,14,4076937600,0,4205391,0
1154,15,4235927726,0,4205475,0
1552,14,3527246886,0,4205480,0
39,14,3641444800,0,4205247,0
1679,15,2484970432,0,4205349,0
930,15,2191976618,0,4205475,0
754,15,2517286034,0,4205480,0
480,15,1970829346,0,4205475,0
1230,14,3511104384,0,4205429,0
730,14,1189394098,0,4205475,0
1451,14,3854265024,0,4205281,0
591,14,3027145706,0,4205475,0
1827,15,3346647252,0,4205480,0
146,15,92546176,0,4205387,0
1448,15,2945280550,0,4205475,0
276,15,232408336,0,4205475,0
829,15,302829426,0,4205480,0
1074,14,2578648254,0,4205475,0
1329,15,3903671380,0,4205475,0
540,14,3376711446,0,4205475,0
997,15,2119104878,0,4205480,0
1816,15,2090452480,0,4205225,0
1057,14,2578647124,0,4205480,0
1575,15,3527248356,0,4205475,0
410,15,2616092348,0,4205475,0
1827,14,2390477014,0,4205480,0
1193,15,4076939840,0,4205315,0
470,15,4019221934,0,4205475,0
1200,14,4076940288,0,4205349,0
484,15,4019222826,0,4205475,0
1456,15,1627483137,0,4205569,0
1040,15,2578646046,0,4205475,0
1472,14,3133370376,0,4205480,0
2022,15,3034839424,0,4205499,0
1236,14,3985454352,0,4205475,0
1021,15,539819864,0,4205475,0
733,13,308066152,0,4205475,0
531,15,2003076326,0,4205480,0
1241,14,3077125758,0,4205475,0
133,15,2934448450,0,4205480,0
1635,15,2785646812,0,4205475,0
309,15,2765507922,0,4205480,0
89,14,1960842816,0,4205412,0
1940,15,2293884161,0,4205460,0
822,15,302828964,0,4205480,0
1324,14,1282362146,0,4205475,0
497,15,1518369860,0,4205480,0
1472,13,1644392474,0,4205475,0
1583,15,3527248842,0,4205475,0
1895,15,1560271350,0,4205480,0
1475,15,3276108008,0,4205475,0
1565,15,3951658872,0,4205480,0
263,14,3597812180,0,4205475,0
1046,14,2743928208,0,4205475,0
430,15,4026559360,0,4205480,0
216,14,1746286096,0,4205480,0
253,15,617627466,0,4205475,0
1727,15,3470897088,0,4205268,0
1067,15,4193192648,0,4205475,0
642,15,1308663988,0,4205480,0
1770,14,336968320,0,4205465,0
1647,15,3630275560,0,4205475,0
344,15,386422304,0,4205480,0
1836,15,419547904,0,4205319,0
727,15,869184960,0,4205475,0
924,15,2096817966,0,4205480,0
181,15,799419750,0,4205475,0
326,14,3301200256,0,4205475,0
318,15,4068233098,0,4205475,0
25,14,2229929592,0,4205480,0
1058,14,2967406756,0,4205475,0
1792,15,4009213996,0,4205480,0
1054,15,3795257216,0,4205336,0
495,15,2808511424,0,4205408,0
562,15,2003078290,0,4205475,0
1184,15,3782289413,0,4208645,0
1185,15,3782289482,0,4208714,0
1161,15,3782287985,0,4207217,0
1162,15,3782288005,0,4207237,0
800,14,2334050306,0,4205475,0
1517,15,192904052,0,4205475,0
368,14,2753977400,0,4208673,0
369,15,2753977408,0,4207242,0
1163,15,3782288066,0,4207298,0
370,15,2753977472,0,4207242,0
1376,15,307714068,0,4207456,0
963,15,898822369,0,4207472,0
1798,15,659407236,0,4207477,0
110,15,3412073380,0,4207470,0
961,15,898822239,0,4207818,0
1801,15,659407472,0,4207559,0
877,15,382131008,0,4207464,0
876,14,382131004,0,4207812,0
397,15,676356976,0,4207450,0
1805,15,659407714,0,4207559,0
960,15,898822183,0,4207818,0
638,15,146841486,0,4207818,0
637,15,146841456,0,4207818,0
636,15,146841345,0,4207818,0
635,15,146841315,0,4207818,0
633,15,146841156,0,4207818,0
632,15,146841126,0,4207818,0
631,15,146841047,0,4207818,0
1812,14,659408165,0,4207559,0
1822,14,659408769,0,4207559,0
1825,14,659408973,0,4207559,0
1829,15,659409276,0,4207559,0
1831,15,659409374,0,4207559,0
1832,15,659409459,0,4207559,0
1835,14,659409648,0,4207559,0
111,15,3412073408,0,4207552,0
630,15,146840994,0,4207818,0
629,15,146840916,0,4207818,0
1837,15,659409783,0,4207559,0
628,15,146840893,0,4207818,0
875,14,382130940,0,4207812,0
626,15,146840762,0,4207818,0
624,15,146840587,0,4207818,0
623,15,146840557,0,4207818,0
622,15,146840468,0,4207818,0
1842,15,659410066,0,4207559,0
1848,15,659410459,0,4207559,0
621,15,146840442,0,4207818,0
619,15,146840302,0,4207818,0
617,15,146840171,0,4207818,0
615,15,146840036,0,4207818,0
614,15,146839969,0,4207818,0
704,15,3554324526,0,4207559,0
707,15,3554324716,0,4207559,0
710,15,3554324904,0,4207559,0
613,15,146839888,0,4207818,0
715,15,3554325199,0,4207559,0
611,15,146839805,0,4207818,0
874,15,382130876,0,4207812,0
609,15,146839651,0,4207818,0
716,14,3554325274,0,4207559,0
608,15,146839569,0,4207818,0
607,14,146839539,0,4207818,0
606,15,146839455,0,4207818,0
717,15,3554325333,0,4207559,0
718,13,3554325416,0,4207559,0
719,14,3554325476,0,4207559,0
604,14,146839355,0,4207818,0
727,14,3554326010,0,4207559,0
601,15,146839131,0,4207818,0
600,15,146839093,0,4207818,0
112,15,3412073472,0,4207552,0
733,12,3554326378,0,4207559,0
749,15,3554327390,0,4207559,0
757,15,3554327892,0,4207559,0
759,15,3554328048,0,4207559,0
760,15,3554328074,0,4207559,0
599,15,146839017,0,4207818,0
597,15,146838891,0,4207818,0
596,15,146838827,0,4207818,0
594,15,146838679,0,4207818,0
593,15,146838625,0,4207818,0
765,15,3554328428,0,4207559,0
873,14,382130812,0,4207812,0
592,15,146838538,0,4207818,0
591,13,146838508,0,4207818,0
590,15,146838404,0,4207818,0
1602,15,2651558016,0,4207559,0
589,15,146838377,0,4207818,0
588,15,146838291,0,4207818,0
587,15,146838271,0,4207818,0
586,15,146838173,0,4207818,0
1604,15,2651558186,0,4207559,0
1605,15,2651558236,0,4207559,0
1606,14,2651558309,0,4207559,0
1607,15,2651558386,0,4207559,0
1611,15,2651558610,0,4207559,0
1612,15,2651558718,0,4207559,0
1614,15,2651558786,0,4207559,0
585,15,146838087,0,4207818,0
113,15,3412073536,0,4207552,0
584,15,146838057,0,4207818,0
582,14,146837944,0,4207818,0
1617,15,2651559025,0,4207559,0
1636,15,2651560197,0,4207559,0
1642,15,2651560629,0,4207559,0
872,15,382130748,0,4207812,0
581,15,146837887,0,4207818,0
1651,15,2651561201,0,4207559,0
580,15,146837806,0,4207818,0
579,14,146837748,0,4207818,0
576,15,146837543,0,4207818,0
1023,14,583335900,0,4207818,0
1022,14,583335870,0,4207818,0
1020,15,583335734,0,4207818,0
1652,15,2651561241,0,4207559,0
1860,15,4142125345,0,4207559,0
1019,15,583335677,0,4207818,0
871,15,382130684,0,4207812,0
1017,15,583335529,0,4207818,0
1014,15,583335354,0,4207818,0
1013,14,583335253,0,4207818,0
1012,15,583335203,0,4207818,0
1009,15,583335023,0,4207818,0
1861,13,4142125390,0,4207559,0
1863,15,4142125518,0,4207559,0
1873,15,4142126192,0,4207559,0
1874,14,4142126223,0,4207559,0
1876,14,4142126354,0,4207559,0
114,15,3412073600,0,4207552,0
1879,15,4142126537,0,4207559,0
1007,15,583334880,0,4207818,0
1881,14,4142126657,0,4207559,0
1894,15,4142127503,0,4207559,0
1004,15,583334706,0,4207818,0
1002,15,583334552,0,4207818,0
1001,15,583334522,0,4207818,0
1000,15,583334452,0,4207818,0
870,14,382130620,0,4207812,0
1895,14,4142127554,0,4207559,0
1898,15,4142127746,0,4207559,0
999,15,583334386,0,4207818,0
998,15,583334291,0,4207818,0
996,15,583334197,0,4207818,0
994,15,583334070,0,4207818,0
1900,15,4142127930,0,4207559,0
993,15,583334012,0,4207818,0
991,15,583333859,0,4207818,0
989,15,583333721,0,4207818,0
1905,15,4142128205,0,4207559,0
1917,15,4142129007,0,4207559,0
988,15,583333694,0,4207818,0
985,15,583333482,0,4207818,0
983,15,583333313,0,4207818,0
869,15,382130556,0,4207812,0
1934,15,2293883824,0,4207559,0
1937,15,2293884006,0,4207559,0
1942,14,2293884328,0,4207559,0
982,15,583333296,0,4207818,0
1952,14,2293884949,0,4207559,0
1953,15,2293885027,0,4207559,0
115,15,3412073664,0,4207552,0
1954,14,2293885113,0,4207559,0
1955,15,2293885132,0,4207559,0
980,15,583333165,0,4207818,0
979,15,583333105,0,4207818,0
977,15,583332958,0,4207818,0
976,15,583332899,0,4207818,0
974,15,583332785,0,4207818,0
1958,14,2293885320,0,4207559,0
1965,14,2293885812,0,4207559,0
1977,15,2293886585,0,4207559,0
1978,14,2293886594,0,4207559,0
973,15,583332724,0,4207818,0
1979,15,2293886711,0,4207559,0
512,14,1237090331,0,4207559,0
513,15,1237090386,0,4207559,0
528,15,1237091333,0,4207559,0
531,14,1237091558,0,4207559,0
971,15,583332590,0,4207818,0
868,14,382130492,0,4207812,0
969,15,583332442,0,4207818,0
968,15,583332414,0,4207818,0
966,15,583332265,0,4207818,0
536,15,1237091903,0,4207559,0
538,13,1237092023,0,4207559,0
965,15,583332207,0,4207818,0
962,15,583331998,0,4207818,0
63,15,39981048,0,4207818,0
60,15,39980808,0,4207818,0
59,15,39980778,0,4207818,0
57,15,39980642,0,4207818,0
867,14,382130428,0,4207812,0
54,14,39980473,0,4207818,0
53,15,39980371,0,4207818,0
52,15,39980334,0,4207818,0
539,15,1237092037,0,4207559,0
540,13,1237092110,0,4207559,0
544,15,1237092362,0,4207559,0
550,15,1237092756,0,4207559,0
116,15,3412073728,0,4207552,0
551,15,1237092832,0,4207559,0
552,15,1237092867,0,4207559,0
558,15,1237093276,0,4207559,0
563,15,1237093622,0,4207559,0
51,15,39980286,0,4207818,0
50,15,39980187,0,4207818,0
564,15,1237093681,0,4207559,0
565,14,1237093727,0,4207559,0
569,15,1237093977,0,4207559,0
571,15,1237094120,0,4207559,0
49,15,39980120,0,4207818,0
48,15,39980090,0,4207818,0
46,15,39979936,0,4207818,0
42,15,39979706,0,4207818,0
866,15,382130364,0,4207812,0
40,15,39979549,0,4207818,0
117,15,3412073792,0,4207552,0
572,15,1237094150,0,4207559,0
39,13,39979491,0,4207818,0
