Set,Way,Physical Address,Victim Address,Program Counter,Hit
264,0,3431744034,0,4207559,0
304,0,3431746583,0,4207559,0
361,0,2921880184,0,4207559,0
368,0,2921880578,0,4207559,0
1388,0,1849645870,0,4207559,0
90,0,3412072064,0,4207552,0
1400,0,1849646616,0,4207559,0
1402,0,1849646749,0,4207559,0
143,0,2329682884,0,4207559,0
151,0,2329683425,0,4207559,0
155,0,2329683701,0,4207559,0
163,0,2329684210,0,4207559,0
164,0,2329684264,0,4207559,0
166,0,2329684373,0,4207559,0
168,0,2329684538,0,4207559,0
1959,0,1541663215,0,4207559,0
1929,0,4131381850,0,4207559,0
1942,0,4131382697,0,4207559,0
1951,0,430696437,0,4207559,0
72,0,1960841751,0,4207559,0
88,1,1960842796,0,4207559,0
92,0,1960843027,0,4207559,0
91,0,3412072128,0,4207552,0
95,0,1960843259,0,4207559,0
132,0,92545331,0,4207559,0
135,0,92545533,0,4207559,0
145,0,92546156,0,4207559,0
163,1,92547296,0,4207559,0
555,0,3193735929,0,4207559,0
573,0,3193737047,0,4207559,0
1808,0,3755459594,0,4207559,0
1812,0,3755459840,0,4207559,0
1822,0,3755460524,0,4207559,0
1928,0,745529903,0,4207559,0
1971,0,745532610,0,4207559,0
1522,0,2801761470,0,4207559,0
1676,0,3470893845,0,4207559,0
1726,0,3470897076,0,4207559,0
92,1,3412072192,0,4207552,0
222,0,2912171953,0,4207559,0
243,0,2912173298,0,4207559,0
1473,0,2489282627,0,4207559,0
1483,0,2489283273,0,4207559,0
1521,0,2489285698,0,4207559,0
1415,0,3854262754,0,4207559,0
1437,0,3854264151,0,4207559,0
1450,1,3854265011,0,4207559,0
817,0,1850920020,0,4207559,0
1786,0,1963835060,0,4207559,0
1995,0,3034837732,0,4207559,0
2013,0,3034838889,0,4207559,0
2020,0,3034839331,0,4207559,0
2021,0,3034839401,0,4207559,0
2028,0,3034839839,0,4207559,0
2030,0,3034839939,0,4207559,0
93,0,3412072256,0,4207552,0
2037,0,3034840435,0,4207559,0
2038,0,3034840505,0,4207559,0
1817,0,2230699616,0,4207559,0
1824,0,2230700090,0,4207559,0
1855,0,2230702043,0,4207559,0
832,0,2973028368,0,4207559,0
860,0,2973030150,0,4207559,0
880,0,2973031440,0,4207559,0
5,0,2987131210,0,4207559,0
39,0,2987133410,0,4207559,0
61,0,2987134800,0,4207559,0
1039,0,1783301059,0,4207559,0
1053,0,1783301982,0,4207559,0
1074,0,1783303358,0,4207559,0
1077,0,1783303496,0,4207559,0
1221,0,2207068494,0,4207559,0
94,0,3412072320,0,4207552,0
1268,0,2207071514,0,4207559,0
1814,0,419546500,0,4207559,0
1835,0,419547889,0,4207559,0
850,0,3542930576,0,4207559,0
867,0,3542931708,0,4207559,0
873,0,3542932066,0,4207559,0
1257,0,2141141587,0,4207559,0
533,0,3636233556,0,4207559,0
537,0,3636233849,0,4207559,0
548,0,3636234538,0,4207559,0
856,0,2766198275,0,4207559,0
870,0,2766199191,0,4207559,0
875,0,2766199548,0,4207559,0
879,0,2766199759,0,4207559,0
1606,0,1218679197,0,4207559,0
1269,0,3140566380,0,4207559,0
95,1,3412072384,0,4207552,0
1272,0,3140566548,0,4207559,0
1354,0,3378205372,0,4207559,0
1379,0,3378206955,0,4207559,0
1386,0,3378207369,0,4207559,0
1034,0,2284388996,0,4207559,0
1850,0,659410611,0,4207559,0
729,0,3554326107,0,4207559,0
746,0,3554327193,0,4207559,0
1600,0,2651557912,0,4207559,0
1603,0,2651558126,0,4207559,0
1615,0,2651558853,0,4207559,0
1866,0,4142125751,0,4207559,0
1939,0,2293884139,0,4207559,0
530,0,1237091514,0,4207559,0
204,0,677655310,0,4207559,0
1688,0,86353421,0,4207559,0
1699,0,86354113,0,4207559,0
1709,0,86354779,0,4207559,0
475,0,2808510165,0,4207559,0
494,0,2808511404,0,4207559,0
1157,0,4076937581,0,4207559,0
1172,0,4076938558,0,4207559,0
1192,0,4076939824,0,4207559,0
1199,0,4076940270,0,4207559,0
733,0,2743383893,0,4207559,0
736,0,2743384117,0,4207559,0
512,0,715423753,0,4207559,0
540,0,715425572,0,4207559,0
567,0,715427296,0,4207559,0
1815,0,2090452469,0,4207559,0
97,0,3412072512,0,4207552,0
1672,0,2484970000,0,4207559,0
1678,0,2484970415,0,4207559,0
1710,0,2484972450,0,4207559,0
406,0,2777048483,0,4207559,0
419,0,2777049305,0,4207559,0
422,0,2777049505,0,4207559,0
425,0,2777049682,0,4207559,0
440,0,2777050644,0,4207559,0
442,0,2777050760,0,4207559,0
1368,0,90527279,0,4207559,0
1385,0,90528378,0,4207559,0
493,0,1227651905,0,4207559,0
502,0,1227652518,0,4207559,0
1323,0,2433174263,0,4207559,0
537,1,3644360307,0,4207559,0
565,0,3644362064,0,4207559,0
566,0,3644362122,0,4207559,0
98,0,3412072576,0,4207552,0
9,1,921305681,0,4207559,0
11,0,921305802,0,4207559,0
579,0,314609901,0,4207559,0
591,0,314610676,0,4207559,0
605,0,314611555,0,4207559,0
639,0,314613701,0,4207559,0
1045,0,2897675644,0,4207559,0
1063,0,2897676756,0,4207559,0
1064,0,2897676802,0,4207559,0
1065,0,2897676927,0,4207559,0
1038,0,3795256239,0,4207559,0
1053,1,3795257200,0,4207559,0
1472,0,1515810848,0,4207559,0
1479,0,1515811277,0,4207559,0
1487,0,1515811839,0,4207559,0
1494,0,1515812259,0,4207559,0
99,0,3412072640,0,4207552,0
1552,0,1213694998,0,4207559,0
1590,0,1213697440,0,4207559,0
1522,1,2763750557,0,4207559,0
779,0,232702661,0,4207559,0
260,0,1109672220,0,4207559,0
265,0,1109672544,0,4207559,0
1958,0,1974593954,0,4207559,0
1966,0,1974594444,0,4207559,0
1969,0,1974594662,0,4207559,0
1738,0,3217666724,0,4207559,0
1665,0,3200753755,0,4207559,0
1666,0,3200753797,0,4207559,0
